repo_dir,local_path,size_bytes,sha256,repo_target,issue_url,issue_number,project11_added,import_verified,local_deleted,notes
.,.agents/TASKS/archive/old-workflows/component-architecture-analysis.md,25788,63c7fdf0b0e2dd1a090b273ee15e322b2abf54c2ae20f40eff6afb4193336c85,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/292,292,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/crypto-price-illustration-workflow.md,4396,28ea9a89c168cff7aa3d2965436cf1236cb34c87b99cc011590a66bd85ee26c2,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/293,293,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/discord-telegram-bots-oauth.md,23763,ad159ee5ec9985525b8cf60ba40eb575038f42d0b4c1fd96032877c55d3c9985,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/294,294,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/fb-ads-performance-to-post.md,9556,2ccc9662b5f93f213091cc53f765fe46acdce5abc827af4f4e1bef214eec2d59,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/295,295,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/multi-variant-content-selection.md,7127,09a32fe170af55666c3ba71b0c91d173eebc9779a52617e6726d0fbeef359122,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/296,296,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/news-to-visual-workflow.md,5836,52f39a7fff805a16b580ec8d8d39c49b8e6c6fce8ea439dfabd8d37e9d0c5690,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/297,297,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/user-settings-harmonization-prd.md,11562,870ec8b3b2c1582fa2159ff14f041b1cd81de1c8c60e0d36f89f9ed61fdc2f4d,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/298,298,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/user-settings-harmonization.md,17126,b9c1b7a607a4dba5e6c12797b02e183011ac68d828e76975346622fb22258a86,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/299,299,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/old-workflows/vercel-to-aws-amplify-migration.md,23347,6a9fb4a13d91a67fa6c3f8af3fec3dc07bf3758dc2858d1dc6e5521ecf170e31,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/300,300,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/reports/CLEANUP-REPORT-2025-10-29.md,219,3156562ed25b6e4ea553fc30b4eb1808d3fc1a20f3859f164e9ad044fb90974c,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/301,301,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/reports/CLEANUP-REPORT-2025-11-12.md,219,3156562ed25b6e4ea553fc30b4eb1808d3fc1a20f3859f164e9ad044fb90974c,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/302,302,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/reports/audit-report.md,31097,7668fe9965b22613d81d9fafcb4dcc1fcb4720459d0c291641815b276e73ab8b,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/303,303,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/reports/cleanup-report-2025-10-22.md,8224,f8cbf5164a76a2b22fa107286e5422ae4456a221a061c6b98dde48cb3601c593,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/304,304,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/reports/cleanup-report.md,205,5892c6dc3662b808d9564005bbec5688eded6f8c7d5bc45b620456241b3b3b35,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/305,305,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/reports/storybook-implementation-complete.md,211,e65e435c0944232540b5ce36f61c524adba37ffff90510aaa6dd6652c514d804,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/306,306,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/task-breakdowns/approval-workflow-system-tasks.md,1995,22b6487eaed57252b255d2932b5bfc225d0b57298c9ff774c2ebb49390d0db27,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/307,307,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/task-breakdowns/avatar-library-management-tasks.md,2564,cf9938943e44c576df93465eb857b87e69e3b2ff91cefe53db53c3b48cfd5cf1,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/308,308,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/task-breakdowns/avatar-performance-analytics-tasks.md,1556,146252f217dcca61d31a0a8d04c450e18eb00ae1a661b643999fa6da9fdb8a53,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/309,309,yes,yes,yes,migrated 2026-02-25; local deleted
.,.agents/TASKS/archive/task-breakdowns/batch-multi-format-export-tasks.md,219,5e4a7bb2d0327b456375159070244dd421cfa28335372ffd700ed0b2e370405f,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/310,310,yes,yes,yes,migrated 2026-02-25; local deleted
cloud,.agents/TASKS/AUDIT-SYNC-REPORT.md,6101,848fa167baf2da4a451892f0d531c6de7c306c1c318ecddad6a1ebf089c34f48,genfeedai/cloud,https://github.com/genfeedai/cloud/issues/311,311,yes,yes,yes,migrated 2026-02-25; local deleted
